Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Population, total",SP.POP.TOTL,High income,HIC,853011324,862109111,870906832,878815003,887824144,896323112,903502034,910950507,918462256,926341455,934008001,941672267,948924500,955737922,962190813,968672259,975437073,982183208,989071855,996396222,1004169206,1012606603,1018853066,1026846769,1034461319,1043384479,1050573065,1057559196,1064403601,1071158291,1077839576,1084888957,1092175508,1099365177,1106953027,1114743713,1123222521,1132154767,1141674064,1150180708,1157826206,1163335501,1170223344,1177175241,1184323353,1191326855,1198350350,1204429565
"Population, total",SP.POP.TOTL,IBRD only,IBD,2366349459,2422126843,2476981598,2531557876,2585289079,2637247806,2688099702,2737889788,2788188544,2839472004,2891281645,2944612598,3000786139,3057588035,3113889531,3171073491,3229839106,3290144789,3350637888,3410072473,3468162855,3524494627,3578748050,3631876396,3684211762,3735691901,3786541610,3837092885,3886855288,3935228896,3981934121,4027560123,4072371012,4116879950,4161045550,4205058601,4248617747,4291629776,4334791952,4378481189,4421851199,4465853343,4510296617,4555067814,4599654984,4643767826,4687686335,4731120193
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,2859823273,2928162561,2995741759,3063329696,3130554486,3196617158,3262238505,3327432779,3393737765,3461566608,3530412139,3601268626,3675483595,3750866217,3826309623,3903212208,3982271082,4063430290,4145325696,4226720042,4307407025,4386707250,4464471808,4541486325,4617974811,4693887421,4769462932,4844990450,4919850879,4993500491,5066140135,5138190545,5209873584,5281727972,5353754291,5426151241,5498679869,5571274179,5644570358,5718843756,5793479782,5869059895,5945148626,6022137210,6099662180,6177552865,6256138021,6335039629
"Population, total",SP.POP.TOTL,IDA blend,IDB,159468637,163727802,168123679,172701100,177520721,182622716,188026801,193716000,199663470,205822820,212160514,218662193,225330186,232165092,239172894,246352583,253706111,261218240,268847200,276540959,284376771,292064422,299824422,307643999,315538560,323589222,331892967,340389142,348989354,357543133,366210370,374871731,383578460,392391532,401420450,410737369,420376591,430363365,440671619,451237921,462331503,473598444,484720757,496066901,507644354,519429790,531399044,543525897
"Population, total",SP.POP.TOTL,IDA only,IDX,334005177,342307916,350636482,359070720,367744686,376746636,386112002,395826991,405885751,416271784,426969980,437993835,449367270,461113090,473247198,485786134,498725865,512067261,525840608,540106610,554867399,570148201,585899336,601965930,618224489,634606298,651028355,667508423,684006237,700728462,717995644,735758691,753924112,772456490,791288291,810355271,829685531,849281038,869106787,889124646,909297080,929608108,950131252,971002495,992362842,1014355249,1037052642,1060393539
"Population, total",SP.POP.TOTL,IDA total,IDA,493473814,506035718,518760161,531771820,545265407,559369352,574138803,589542991,605549221,622094604,639130494,656656028,674697456,693278182,712420092,732138717,752431976,773285501,794687808,816647569,839244170,862212623,885723758,909609929,933763049,958195520,982921322,1007897565,1032995591,1058271595,1084206014,1110630422,1137502572,1164848022,1192708741,1221092640,1250062122,1279644403,1309778406,1340362567,1371628583,1403206552,1434852009,1467069396,1500007196,1533785039,1568451686,1603919436
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,1339919001,1371557517,1401527248,1430526179,1458108109,1483449266,1507257850,1529518337,1551730186,1574150421,1596184271,1618775545,1643485593,1668173934,1691966485,1716487312,1742456920,1769838060,1797369949,1823976433,1849526605,1873490015,1893548031,1914561058,1935068108,1956575285,1975922433,1994983078,2013289641,2030330432,2045841423,2060587322,2074469505,2088020747,2101455067,2115014282,2128455973,2141610789,2154947270,2168543985,2181529363,2194530619,2207632770,2220999087,2234568586,2248128427,2262158994,2276319334
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,286027166,293097388,300238819,307462534,314773956,322176757,329667217,337240049,344913615,352693991,360591861,368601995,376714428,384896426,393106351,401311796,409496610,417659736,425800798,433925886,442040696,450125305,458175526,466199679,474193423,482150647,490080681,497957410,505774348,513442848,520964431,528336554,535570691,542684680,549705414,556652026,563521369,570314774,577050884,583746102,590303295,596966199,603586217,610151927,616619613,622986033,629240066,635372515
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,267436459,274223248,281076139,288002834,295014919,302121282,309317366,316599746,323978218,331465770,339067716,346786830,354608437,362498351,370410991,378311111,386183203,394027388,401843272,409636367,417409519,425153755,432859827,440530487,448171372,455783349,463368817,470916671,478398772,485778282,493029013,500140855,507121489,513985894,520757766,527455967,534080194,540628539,547116062,553561029,559867514,566309408,572713225,579053861,585296422,591416820,597399287,603254104
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,273890550,280743854,287660314,294655159,301749862,308960344,316284425,323716454,331262793,338930835,346721295,354637282,362664167,370762243,378879107,386975093,395030890,403048813,411037290,419014393,426991606,434963098,442915528,450843971,458742858,466604856,474430763,482211642,489919322,497517841,504982243,512300865,519482148,526547684,533529987,540453950,547323121,554133291,560891799,567605672,574171371,580856609,587491182,594063071,600555906,606956985,613258172,619460244
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,306916896,314344629,321797581,329357353,337142681,345242710,353691338,362475112,371577256,380963304,390612563,400528924,410740611,421279107,432185325,443491288,455193656,467290514,479814021,492803028,506275612,520262423,534731006,549559264,564581083,579681672,594801259,609983301,625342098,641046802,657215864,673903112,691061397,708587948,726331177,744190510,762132501,780219542,798563392,817322629,836614860,856472234,876869863,897797478,919226401,941131317,963511276,986365080
"Population, total",SP.POP.TOTL,Low & middle income,LMY,2830664982,2899197937,2966819339,3034402941,3101560890,3167483411,3232891073,3297820434,3363879204,3431452144,3500013974,3570596695,3644529753,3719629711,3794807260,3871482909,3950364261,4031393179,4113221493,4194569000,4277170872,4356603492,4434540894,4511601957,4588114102,4664148544,4739881155,4815512572,4890406949,4964125844,5037268787,5109571487,5181350933,5253312522,5325421944,5397859154,5470400681,5542975651,5616213108,5690410869,5765121055,5840675761,5916770281,5993786433,6071330528,6149221337,6227752871,6306560891
"Population, total",SP.POP.TOTL,Low income,LIC,201001375,206110337,211335895,216681265,222154521,227761362,233513206,239409309,245430650,251550765,257758125,264051673,270462062,277049449,283893524,291057942,298550548,306374108,314578310,323219957,332330635,341955755,352066121,362526825,373150870,383810298,394448671,405123344,415959410,427140442,438799433,450962074,463584766,476645372,490099969,503907174,518097437,532663586,547481280,562386040,577274011,592092182,606913332,621915808,637350644,653405207,670117389,687449530
"Population, total",SP.POP.TOTL,Lower middle income,LMC,1170050244,1197695284,1226045232,1255126850,1284982577,1315638970,1347077568,1379310126,1412439164,1446597778,1481859807,1518293900,1555686714,1593969308,1632885169,1672196713,1711883766,1751925747,1792245451,1832773126,1875358869,1915913909,1956554979,1997079030,2037399623,2077790619,2118416707,2159201405,2199992975,2240609732,2281159205,2321544987,2361829370,2402147090,2442531361,2483021672,2523645459,2564440295,2605437640,2646675754,2688436551,2730385840,2772231195,2814221065,2856124025,2898058449,2939830821,2981420591
